symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
PG,2026-07-14,2026-07-31,165.0,C,0.01,0.47,0.24,38.6725,0.081223,0.012334,-0.055083,0.047409,17,146.08,8,39,27.16
PG,2026-07-14,2026-07-31,167.5,C,0.0,2.19,1.095,52.7348,0.129191,0.012669,-0.104803,0.066404,17,146.08,1,81,27.16
PG,2026-07-14,2026-07-31,170.0,C,0.0,0.5,0.25,46.2408,0.073194,0.009531,-0.060611,0.043803,17,146.08,20,21,27.16
PG,2026-07-14,2026-07-31,172.5,C,0.0,2.15,1.075,60.0102,0.113992,0.010196,-0.108918,0.06081,17,146.08,4,1,27.16
PG,2026-07-14,2026-07-31,100.0,P,0.0,2.16,1.08,119.0434,-0.053664,0.002907,-0.119534,0.034394,17,146.08,0,1,27.16
PG,2026-07-14,2026-07-31,115.0,P,0.0,2.21,1.105,83.3009,-0.076337,0.005463,-0.109589,0.045231,17,146.08,0,1,27.16
PG,2026-07-14,2026-07-31,120.0,P,0.0,1.71,0.855,66.9925,-0.074305,0.006655,-0.086133,0.044311,17,146.08,14,14,27.16
PG,2026-07-14,2026-07-31,125.0,P,0.0,1.0,0.5,58.7651,-0.095809,0.00918,-0.091165,0.053618,17,146.08,1,3,27.16
PG,2026-07-14,2026-07-31,130.0,P,0.0,2.35,1.175,50.2691,-0.126085,0.013068,-0.094559,0.06529,17,146.08,1,17,27.16
PG,2026-07-14,2026-07-31,132.0,P,0.01,0.8,0.405,40.3326,-0.109777,0.014767,-0.068523,0.059194,17,146.08,7,15,27.16
PG,2026-07-14,2026-07-31,133.0,P,0.21,0.62,0.415,35.3522,-0.098483,0.015572,-0.055376,0.054712,17,146.08,12,25,27.16
PG,2026-07-14,2026-07-31,134.0,P,0.19,0.75,0.47,35.3034,-0.116315,0.017581,-0.062265,0.061689,17,146.08,10,13,27.16
PG,2026-07-14,2026-07-31,135.0,P,0.3,1.0,0.65,36.5241,-0.144122,0.019713,-0.07465,0.071561,17,146.08,8,72,27.16
PG,2026-07-14,2026-07-31,136.0,P,0.29,0.96,0.625,33.7653,-0.148874,0.021793,-0.070341,0.073137,17,146.08,4,8,27.16
PG,2026-07-14,2026-07-31,137.0,P,0.8,0.96,0.88,31.4704,-0.157639,0.024286,-0.067891,0.075963,17,146.08,2,34,27.16
PG,2026-07-14,2026-07-31,138.0,P,0.86,1.17,1.015,31.5437,-0.18534,0.026873,-0.075312,0.084248,17,146.08,1,60,27.16
PG,2026-07-14,2026-07-31,139.0,P,1.08,1.37,1.225,31.2019,-0.212713,0.02952,-0.080736,0.091544,17,146.08,3,65,27.16
PG,2026-07-14,2026-07-31,140.0,P,1.43,1.62,1.525,31.0676,-0.244067,0.032031,-0.08661,0.098903,17,146.08,25,409,27.16
PG,2026-07-14,2026-07-31,141.0,P,1.75,1.93,1.84,31.1774,-0.279175,0.034199,-0.092862,0.105972,17,146.08,12,74,27.16
PG,2026-07-14,2026-07-31,142.0,P,2.1,2.28,2.19,31.2995,-0.316094,0.036054,-0.098357,0.112158,17,146.08,2,45,27.16
PG,2026-07-14,2026-07-31,143.0,P,2.43,2.66,2.545,31.3483,-0.354097,0.037636,-0.102625,0.117263,17,146.08,5,33,27.16
PG,2026-07-14,2026-07-31,144.0,P,2.8,3.1,2.95,31.5681,-0.393633,0.038653,-0.106478,0.121273,17,146.08,31,79,27.16
PG,2026-07-14,2026-07-31,145.0,P,3.3,3.55,3.425,31.5559,-0.433166,0.039537,-0.108336,0.124001,17,146.08,205,167,27.16
PG,2026-07-14,2026-07-31,146.0,P,3.8,4.1,3.95,32.0075,-0.473125,0.039446,-0.110734,0.125485,17,146.08,17,20,27.16
PG,2026-07-14,2026-07-31,147.0,P,4.1,4.65,4.375,32.154,-0.512342,0.039337,-0.110853,0.12571,17,146.08,1,105,27.16
PG,2026-07-14,2026-07-31,148.0,P,4.75,5.25,5.0,32.4103,-0.550559,0.03873,-0.110268,0.124759,17,146.08,4,22,27.16
PG,2026-07-14,2026-07-31,149.0,P,5.3,5.9,5.6,32.7766,-0.587091,0.037684,-0.10908,0.122762,17,146.08,23,32,27.16
PG,2026-07-14,2026-07-31,150.0,P,6.0,6.9,6.45,35.7062,-0.611317,0.034052,-0.117184,0.120842,17,146.08,5,77,27.16
PG,2026-07-14,2026-07-31,152.5,P,7.35,8.8,8.075,37.3786,-0.681351,0.030293,-0.112773,0.11254,17,146.08,11,104,27.16
PG,2026-07-14,2026-07-31,155.0,P,9.6,11.3,10.45,43.3599,-0.715047,0.024834,-0.124785,0.107023,17,146.08,1,18,27.16
PG,2026-07-14,2026-07-31,157.5,P,11.35,13.9,12.625,49.854,-0.735583,0.020817,-0.138977,0.103146,17,146.08,2,26,27.16
PG,2026-07-14,2026-07-31,160.0,P,13.55,16.2,14.875,53.1621,-0.764528,0.018356,-0.138722,0.096987,17,146.08,1,2,27.16
PG,2026-07-14,2026-08-07,130.0,C,15.5,17.55,16.525,46.0455,0.857092,0.013086,-0.091996,0.084544,24,146.08,0,2,27.16
PG,2026-07-14,2026-08-07,135.0,C,10.9,12.35,11.625,33.8386,0.836577,0.019462,-0.07626,0.092407,24,146.08,1,1,27.16
PG,2026-07-14,2026-08-07,140.0,C,6.2,8.65,7.425,33.7409,0.713192,0.026943,-0.099333,0.127555,24,146.08,1,2,27.16
PG,2026-07-14,2026-08-07,141.0,C,6.35,7.45,6.9,29.7492,0.703335,0.031043,-0.089955,0.129579,24,146.08,5,5,27.16
PG,2026-07-14,2026-08-07,145.0,C,4.1,4.85,4.475,28.2234,0.568414,0.037179,-0.094487,0.147235,24,146.08,1,9,27.16
PG,2026-07-14,2026-08-07,146.0,C,3.7,4.0,3.85,25.9773,0.531107,0.040874,-0.088078,0.148983,24,146.08,1,1,27.16
