symbol,quote_date,expiration,strike,option_type,bid,ask,mid,implied_volatility,delta,gamma,theta,vega,dte,underlying_price,volume,open_interest,iv_rank
AMZN,2026-07-03,2026-07-17,115.0,C,126.85,129.6,128.225,185.9376,0.987345,0.00037,-0.114393,0.015544,14,242.67,2,821,
AMZN,2026-07-03,2026-07-17,120.0,C,120.95,124.8,122.875,152.5393,0.993986,0.000235,-0.055979,0.008098,14,242.67,1,61,
AMZN,2026-07-03,2026-07-17,125.0,C,115.95,119.6,117.775,132.8128,0.996383,0.000171,-0.036835,0.005145,14,242.67,1,90,
AMZN,2026-07-03,2026-07-17,130.0,C,111.1,114.6,112.85,134.3753,0.99394,0.000269,-0.051989,0.008152,14,242.67,26,61,
AMZN,2026-07-03,2026-07-17,135.0,C,105.65,109.6,107.625,190.3321,0.961079,0.000932,-0.284686,0.040054,14,242.67,1,59,
AMZN,2026-07-03,2026-07-17,140.0,C,101.2,104.6,102.9,123.8285,0.991694,0.000385,-0.061424,0.010766,14,242.67,9,50,
AMZN,2026-07-03,2026-07-17,145.0,C,96.15,99.65,97.9,116.602,0.991235,0.000429,-0.061305,0.011287,14,242.67,11,51,
AMZN,2026-07-03,2026-07-17,150.0,C,91.4,94.65,93.025,116.9926,0.9868,0.00061,-0.082043,0.016121,14,242.67,24,429,
AMZN,2026-07-03,2026-07-17,155.0,C,86.95,89.65,88.3,120.9965,0.978107,0.000909,-0.122299,0.024842,14,242.67,9,173,
AMZN,2026-07-03,2026-07-17,160.0,C,81.3,84.65,82.975,100.6841,0.986725,0.000712,-0.07394,0.0162,14,242.67,22,153,
AMZN,2026-07-03,2026-07-17,165.0,C,77.0,79.7,78.35,107.813,0.97376,0.001188,-0.127219,0.028926,14,242.67,5,137,
AMZN,2026-07-03,2026-07-17,170.0,C,72.3,73.4,72.85,81.0549,0.990103,0.000686,-0.05312,0.012553,14,242.67,1,115,
AMZN,2026-07-03,2026-07-17,175.0,C,67.25,68.4,67.825,73.6331,0.990583,0.000723,-0.048903,0.012019,14,242.67,7,172,
AMZN,2026-07-03,2026-07-17,180.0,C,62.3,63.4,62.85,69.5316,0.988464,0.000913,-0.053367,0.014345,14,242.67,32,220,
AMZN,2026-07-03,2026-07-17,185.0,C,57.35,58.45,57.9,66.3089,0.984814,0.001214,-0.061228,0.01819,14,242.67,2,237,
AMZN,2026-07-03,2026-07-17,190.0,C,52.4,53.5,52.95,62.598,0.980706,0.001579,-0.068447,0.022319,14,242.67,4,1213,
AMZN,2026-07-03,2026-07-17,195.0,C,47.35,48.5,47.925,55.9575,0.980455,0.001785,-0.064144,0.022566,14,242.67,14,739,
AMZN,2026-07-03,2026-07-17,200.0,C,42.45,43.55,43.0,52.7348,0.973669,0.002435,-0.074012,0.029009,14,242.67,8,2743,
AMZN,2026-07-03,2026-07-17,205.0,C,37.5,38.6,38.05,58.6186,0.938104,0.004381,-0.140401,0.058009,14,242.67,1,1510,
AMZN,2026-07-03,2026-07-17,210.0,C,32.6,33.75,33.175,54.0532,0.923941,0.005569,-0.150371,0.067999,14,242.67,6,3376,
AMZN,2026-07-03,2026-07-17,215.0,C,27.8,28.9,28.35,49.0728,0.906974,0.007136,-0.157794,0.079093,14,242.67,5,2069,
